,hexagon_id,connections_points,normalized_score
613,871eb0632ffffff,,
614,871eb2adaffffff,,
615,871eb3d2effffff,,
616,871eb0016ffffff,,
617,871eb04abffffff,,
618,871eb2a76ffffff,,
619,871eb0755ffffff,,
620,871eb22d3ffffff,,
621,871eb06f1ffffff,,
622,871eb00d5ffffff,,
623,871eb056affffff,,
624,871eb2a12ffffff,,
625,871eb068dffffff,,
626,871eb220bffffff,,
627,871eb3d89ffffff,,
628,871eb2b35ffffff,,
629,871eb07b0ffffff,,
630,871eb3d25ffffff,,
631,871eb2ad1ffffff,,
632,871eb0629ffffff,,
633,871eb232effffff,,
634,871eb000dffffff,,
635,871eb2a6dffffff,,
636,871eb074cffffff,,
637,871eb22caffffff,,
638,871eb2a09ffffff,,
639,871eb00ccffffff,,
640,871eb00a4ffffff,,
641,871eb3c35ffffff,,
642,871eb03b2ffffff,,
643,871eb06c0ffffff,,
644,871eb2b68ffffff,,
645,871eb2266ffffff,,
646,871eb06e8ffffff,,
647,871eb0561ffffff,,
648,871eb2b90ffffff,,
649,871eb0684ffffff,,
650,871eb3d80ffffff,,
651,871eb2b2cffffff,,
652,871eb2202ffffff,,
653,871eb2389ffffff,,
654,871eb0068ffffff,,
655,871eb2ac8ffffff,,
656,871eb0620ffffff,,
657,871eb2325ffffff,,
658,871eb3d1cffffff,,
659,871eb0499ffffff,,
660,871eb0ab5ffffff,,
661,871eb0004ffffff,,
662,871eb018bffffff,,
663,871eb2a64ffffff,,
664,871eb0743ffffff,,
665,871eb22c1ffffff,,
666,871eb0435ffffff,,
667,871eb00c3ffffff,,
668,871eb2a00ffffff,,
669,871eb0558ffffff,,
670,871eb2b23ffffff,,
671,871eb04f4ffffff,,
672,871eb22a2ffffff,,
673,871eb0416ffffff,,
674,871eb0724ffffff,,
675,871eb2a45ffffff,,
676,871eb2380ffffff,,
677,871eb079effffff,,
678,871eb3d13ffffff,,
679,871eb0490ffffff,,
680,871eb231cffffff,,
681,871eb2a5bffffff,,
682,871eb042cffffff,,
683,871eb06d6ffffff,,
684,871eb2254ffffff,,
685,871eb04ebffffff,,
686,871eb0672ffffff,,
687,871eb0056ffffff,,
688,871eb2b1affffff,,
689,871eb2069ffffff,,
690,871eb0795ffffff,,
691,871eb060effffff,,
692,871eb3d0affffff,,
693,871eb0aa3ffffff,,
694,871eb2313ffffff,,
695,871eb0731ffffff,,
696,871eb2a52ffffff,,
697,871eb3ca6ffffff,,
698,871eb0423ffffff,,
699,871eb2b75ffffff,,
700,871eb00b1ffffff,,
701,871eb06cdffffff,,
702,871eb0546ffffff,,
