hexagon_id,latency_ms,normalized_score
871eb0003ffffff,,
871eb0ab4ffffff,,
871eb2a63ffffff,,
871eb0742ffffff,,
871eb22c0ffffff,,
871eb00c2ffffff,,
871eb06deffffff,,
871eb225cffffff,39.0,0.61
871eb04f3ffffff,,
871eb3d76ffffff,,
871eb2b22ffffff,,
871eb005effffff,,
871eb079dffffff,,
871eb0616ffffff,,
871eb3d12ffffff,,
871eb231bffffff,,
871eb2a5affffff,,
871eb042bffffff,,
871eb3caeffffff,,
871eb0653ffffff,,
871eb2358ffffff,,
871eb04ccffffff,,
871eb06d5ffffff,,
871eb054effffff,,
871eb2253ffffff,,
871eb04eaffffff,,
871eb2376ffffff,,
871eb0671ffffff,,
871eb2b19ffffff,39.0,0.61
871eb2068ffffff,,
871eb0794ffffff,,
871eb060dffffff,,
871eb3d09ffffff,,
871eb0aa2ffffff,,
871eb0486ffffff,50.0,0.5
871eb2a51ffffff,,
871eb0730ffffff,,
871eb3ca5ffffff,,
871eb0422ffffff,,
871eb05a9ffffff,,
871eb22aeffffff,,
871eb2b74ffffff,,
871eb06ccffffff,,
871eb00b0ffffff,,
871eb0545ffffff,,
871eb224affffff,51.0,0.49
871eb04e1ffffff,,
871eb236dffffff,,
871eb3d64ffffff,38.0,0.62
871eb004cffffff,,
871eb2b10ffffff,,
871eb2235ffffff,,
871eb009bffffff,,
871eb3db3ffffff,,
871eb078bffffff,,
871eb0604ffffff,,
871eb3d00ffffff,,
871eb2309ffffff,,
871eb2aacffffff,49.0,0.51
871eb2a48ffffff,,
871eb0419ffffff,,
871eb3c9cffffff,70.0,0.3
871eb22a5ffffff,,
871eb0292ffffff,,
871eb2b6bffffff,,
871eb06c3ffffff,,
871eb03b5ffffff,28.5,0.715
871eb2241ffffff,70.0,0.3
871eb2364ffffff,,
871eb04d8ffffff,,
871eb0043ffffff,,
871eb0782ffffff,,
871eb0474ffffff,,
871eb0a90ffffff,,
871eb2300ffffff,,
871eb2aa3ffffff,56.8,0.43200000000000005
871eb071effffff,,
871eb3c93ffffff,43.0,0.57
871eb0410ffffff,,
871eb2b62ffffff,,
871eb3db6ffffff,,
871eb009effffff,,
871eb235bffffff,,
871eb3c90ffffff,,
871eb040dffffff,,
871eb071bffffff,,
871eb0656ffffff,,
871eb204dffffff,,
871eb046bffffff,,
871eb2a9affffff,,
871eb0715ffffff,,
871eb2a36ffffff,,
871eb058effffff,,
871eb06b1ffffff,,
871eb2b59ffffff,,
871eb0095ffffff,,
871eb3dadffffff,,
871eb3c26ffffff,,
871eb04c6ffffff,,
871eb2af5ffffff,,
871eb2352ffffff,,
871eb2044ffffff,,
871eb0770ffffff,,
871eb0462ffffff,,
871eb22eeffffff,,
871eb2a91ffffff,43.0,0.57
871e94974ffffff,,
871eb070cffffff,,
871eb2a2dffffff,,
871eb00f0ffffff,,
871eb3c81ffffff,,
871eb06a8ffffff,,
871eb3da4ffffff,,
871eb2b50ffffff,,
871eb008cffffff,,
871eb0471ffffff,,
871eb2226ffffff,,
871eb039affffff,,
871eb23adffffff,,
871eb2aecffffff,,
871eb2349ffffff,,
871eb0644ffffff,,
871eb0336ffffff,92.33333333333333,0.07666666666666672
871eb0459ffffff,,
871eb22e5ffffff,,
871eb2a88ffffff,,
871eb014bffffff,45.0,0.55
871eb0703ffffff,,
871eb2a24ffffff,,
871eb2babffffff,23.0,0.77
871eb0b98ffffff,,
871eb0083ffffff,,
871eb221dffffff,,
871eb3d9bffffff,,
871eb0391ffffff,35.666666666666664,0.6433333333333334
871eb3c14ffffff,,
871eb2340ffffff,,
871eb2ae3ffffff,,
871eb0450ffffff,,
